show_id,title,StreamR,listed_in,date_added,release_year,country
80106966,Iliza Shlesinger: Confirmed Kills,Movie,Stand-Up Comedy,2016-09-23,2016,United States
81004814,BONDING,TV_Show,"TV Comedies, TV Dramas",2019-09-22,2019,United States
81080769,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Movie,"Dramas, Independent Movies, International Movies",2019-09-22,2009,India
70267838,20 Feet From Stardom,Movie,"Documentaries, Music & Musicals",2018-09-22,2013,United States
80211380,In Darkness,Movie,"Independent Movies, International Movies, Thrillers",2018-09-22,2018,"United Kingdom, United States"
80196586,Gaga: Five Foot Two,Movie,"Documentaries, Music & Musicals",2017-09-22,2017,United States
80099204,The Bad Batch,Movie,"Dramas, Independent Movies, Thrillers",2017-09-22,2016,United States
80059432,SMOSH: The Movie,Movie,Comedies,2015-09-22,2015,United States
81172721,King of Boys,Movie,"Dramas, International Movies",2019-09-21,2018,Nigeria
81172727,Merry Men: The Real Yoruba Demons,Movie,"Comedies, International Movies",2019-09-21,2018,Nigeria
70153543,Sarah's Key,Movie,"Dramas, International Movies",2019-09-21,2010,France
81172728,The Wedding Party 2: Destination Dubai,Movie,"Comedies, International Movies, Romantic Movies",2019-09-21,2017,Nigeria
81095101,Vagabond,TV_Show,"International TV Shows, Korean TV Shows, TV Action & Adventure",2019-09-21,2019,South Korea
80195173,Battlefish,TV_Show,"Reality TV, Science & Nature TV, TV Action & Adventure",2018-09-21,2018,
80241960,DRAGON PILOT: Hisone & Masotan,TV_Show,"Anime Series, International TV Shows",2018-09-21,2018,Japan
80115346,Hilda,TV_Show,Kids' TV,2018-09-21,2018,"United Kingdom, Canada, United States"
80124522,Maniac,TV_Show,"TV Comedies, TV Dramas, TV Mysteries",2018-09-21,2018,United States
80102952,Quincy,Movie,"Documentaries, Music & Musicals",2018-09-21,2018,United States
80214464,Rafinha Bastos: Ultimatum,Movie,Stand-Up Comedy,2018-09-21,2018,Brazil
80157073,The Good Cop,TV_Show,"Crime TV Shows, TV Comedies, TV Dramas",2018-09-21,2018,United States
80243600,Between Two Ferns: The Movie,Movie,Comedies,2019-09-20,2019,United States
81020513,Criminal: France,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",2019-09-20,2019,
81020518,Criminal: Germany,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",2019-09-20,2019,
81020523,Criminal: Spain,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2019-09-20,2019,
80216172,Criminal: UK,TV_Show,"British TV Shows, Crime TV Shows, International TV Shows",2019-09-20,2019,"United Kingdom, France, Germany, Spain"
81122669,Daddy Issues,Movie,"Dramas, Independent Movies, LGBTQ Movies",2019-09-20,2019,United States
80184771,Inside Bill's Brain: Decoding Bill Gates,TV_Show,"Docuseries, Science & Nature TV",2019-09-20,2019,United States
81000389,The Hockey Girls,TV_Show,"International TV Shows, TV Comedies, TV Dramas",2019-09-20,2019,Spain
81132439,Travel Mates 2,Movie,"Comedies, International Movies",2019-09-20,2018,Turkey
81035117,True: Tricky Treat Day,Movie,Children & Family Movies,2019-09-20,2019,Canada
80244627,Two Sentence Horror Stories,TV_Show,"TV Horror, Teen TV Shows",2019-09-20,2019,United States
80150502,Mad World,Movie,"Dramas, International Movies",2018-09-20,2016,Hong Kong
80189183,Mobile Suit Gundam UC,TV_Show,"Anime Series, International TV Shows",2018-09-20,2014,Japan
80997866,The Bund,Movie,"Action & Adventure, Dramas, International Movies",2018-09-20,1983,Hong Kong
80119815,The First Line,Movie,"Dramas, Independent Movies",2016-09-20,2014,"United States, Greece, United Kingdom"
80993149,Maynard,Movie,Documentaries,2018-09-02,2017,United States
80224294,Monkey Twins,TV_Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",2018-09-02,2018,Thailand
80203776,Bitcoin Heist,Movie,"Action & Adventure, Comedies, International Movies",2017-09-02,2016,Vietnam
80143797,I Am Not Madame Bovary,Movie,"Comedies, Dramas, International Movies",2017-09-02,2016,China
80161931,Vincent N Roxxy,Movie,"Dramas, Thrillers",2017-09-02,2016,United States
80128096,Chef's Table: France,TV_Show,Docuseries,2016-09-02,2016,
80057610,Kulipari: An Army of Frogs,TV_Show,Kids' TV,2016-09-02,2016,United States
80017275,Miss Julie,Movie,"Dramas, International Movies",2015-09-02,2014,"Norway, United Kingdom, France, Ireland"
81107545,Kabir Singh,Movie,"Dramas, International Movies, Romantic Movies",2019-09-19,2019,India
70118953,Océans,Movie,"Documentaries, International Movies",2019-09-19,2009,"France, Switzerland, Spain, United States, United Arab Emirates"
80190449,The Endless,Movie,"Independent Movies, Sci-Fi & Fantasy, Thrillers",2018-09-19,2017,United States
70259208,Transformers: Rescue Bots,TV_Show,Kids' TV,2018-09-19,2016,"Canada, United States"
80163156,Jerry Before Seinfeld,Movie,Stand-Up Comedy,2017-09-19,2017,United States
80176878,Manhunt,TV_Show,"Crime TV Shows, TV Dramas, TV Mysteries",2017-09-19,2017,United States
80131281,"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",Movie,Stand-Up Comedy,2016-09-19,2016,
80131374,"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",Movie,Stand-Up Comedy,2016-09-19,2016,
80131436,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",Movie,Stand-Up Comedy,2016-09-19,2016,
80131376,"Rafał Banaś, Michał Leja Laugh out Loud",Movie,Stand-Up Comedy,2016-09-19,2016,
80131435,The Best of Rafał Rutkowski Olka Szczęśniak,Movie,Stand-Up Comedy,2016-09-19,2016,
80131375,"Tomasz Jachimek, Jacek Stramik Laugh at Live",Movie,Stand-Up Comedy,2016-09-19,2016,
80149143,Come and Find Me,Movie,"Dramas, Thrillers",2019-09-18,2016,"Canada, United States, United Kingdom"
81144925,When the Camellia Blooms,TV_Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",2019-09-18,2019,South Korea
80987075,Class Rank,Movie,Comedies,2018-09-18,2018,United States
80192815,Barbie Dolphin Magic,Movie,Children & Family Movies,2017-09-18,2017,United States
80136785,Forget Me Not,TV_Show,"International TV Shows, TV Dramas",2017-09-18,2011,United Kingdom
80135278,The Beat,TV_Show,"International TV Shows, TV Dramas",2017-09-18,2012,
80136452,Timeless Season,TV_Show,"International TV Shows, TV Dramas",2017-09-18,2009,
80066798,Keith Richards: Under the Influence,Movie,"Documentaries, Music & Musicals",2015-09-18,2015,United States
81147293,A Haunting at Silver Falls: The Return,Movie,"Horror Movies, Independent Movies",2019-09-17,2019,United States
70178604,Ancient Aliens,TV_Show,"Docuseries, Science & Nature TV",2019-09-17,2010,United States
80991316,Avengement,Movie,Action & Adventure,2019-09-17,2019,United Kingdom
80190588,Clive Davis: The Soundtrack of Our Lives,Movie,"Documentaries, Music & Musicals",2019-09-17,2017,United States
70124316,Five Elements Ninjas,Movie,"Action & Adventure, International Movies",2019-09-17,1982,Hong Kong
70229037,Sebastian Maniscalco: What's Wrong with People?,Movie,Stand-Up Comedy,2019-09-17,2012,United States
80219119,The Last Kids on Earth,TV_Show,"Kids' TV, TV Comedies",2019-09-17,2019,United States
80037280,The Witch,Movie,"Horror Movies, Independent Movies",2018-09-17,2015,"United Kingdom, Canada, United States"
80165072,Click for Murder,TV_Show,"British TV Shows, Crime TV Shows, Docuseries",2017-09-17,2017,United Kingdom
80058248,I Am Wrath,Movie,"Action & Adventure, Dramas",2019-09-16,2016,United States
70307661,"As Above, So Below",Movie,"Horror Movies, Thrillers",2018-09-16,2014,United States
70117312,Scott Pilgrim vs. the World,Movie,"Action & Adventure, Comedies, Cult Movies",2018-09-16,2010,"United States, United Kingdom, Canada, Japan"
80092885,ARQ,Movie,"International Movies, Sci-Fi & Fantasy, Thrillers",2016-09-16,2016,"Canada, United States"
80108371,Cedric the Entertainer: Live from the Ville,Movie,Stand-Up Comedy,2016-09-16,2016,United States
70129452,Louis C.K.: Hilarious,Movie,Movies,2016-09-16,2010,United States
80045805,Raiders!: The Story of the Greatest Fan Film Ever Made,Movie,Documentaries,2016-09-16,2015,United States
80101827,The White Helmets,Movie,Documentaries,2016-09-16,2016,United Kingdom
70251519,America's Book of Secrets,TV_Show,Docuseries,2019-09-15,2014,United States
81174992,Bakugan: Battle Planet,TV_Show,"Anime Series, Kids' TV",2019-09-15,2018,"Japan, Canada, South Korea"
81044365,Cold Case Files,TV_Show,"Crime TV Shows, Docuseries",2019-09-15,2017,United States
81030342,Los Tigres del Norte at Folsom Prison,Movie,"Documentaries, International Movies, Music & Musicals",2019-09-15,2019,United States
70143865,Pawn Stars,TV_Show,Reality TV,2019-09-15,2010,United States
70054723,Steal a Pencil for Me,Movie,Documentaries,2019-09-15,2006,United States
81069393,Surviving R. Kelly,TV_Show,Docuseries,2019-09-15,2019,United States
80012550,The Curse of Oak Island,TV_Show,Docuseries,2019-09-15,2014,United States
81131761,The Outsider,Movie,Movies,2019-09-15,2019,United States
81176196,The Rap Game,TV_Show,Reality TV,2019-09-15,2016,United States
70143831,The Universe,TV_Show,"Docuseries, Science & Nature TV",2019-09-15,2009,United States
81003648,Al Hayba,TV_Show,"Crime TV Shows, International TV Shows, TV Dramas",2018-09-15,2017,Lebanon
81016326,Arisan 2,Movie,"Comedies, Dramas, International Movies",2018-09-15,2011,Indonesia
80241102,Cabins in the Wild with Dick Strawbridge,TV_Show,"British TV Shows, International TV Shows, Reality TV",2018-09-15,2017,United Kingdom
80227777,Cardboard Gangsters,Movie,"Dramas, International Movies",2018-09-15,2016,Ireland
81018233,Eeda,Movie,"Dramas, International Movies, Romantic Movies",2018-09-15,2018,India
81016317,Galih dan Ratna,Movie,"Dramas, International Movies, Romantic Movies",2018-09-15,2017,Indonesia
81016337,Gie,Movie,"Dramas, International Movies",2018-09-15,2005,Indonesia
81018234,​Goli Soda 2,Movie,"Action & Adventure, Dramas, International Movies",2018-09-15,2018,India
80241103,How to Live Mortgage Free with Sarah Beeny,TV_Show,"British TV Shows, International TV Shows, Reality TV",2018-09-15,2018,
80240816,Inside The Freemasons,TV_Show,"British TV Shows, Docuseries, International TV Shows",2018-09-15,2017,United Kingdom
81018241,Jugaad,Movie,Documentaries,2018-09-15,2017,
81018235,​Maj Rati ​​Keteki,Movie,"Dramas, International Movies",2018-09-15,2017,India
81018236,​Mayurakshi,Movie,"Dramas, International Movies",2018-09-15,2017,India
81018237,Red Oleanders Raktokarobi,Movie,"Dramas, International Movies",2018-09-15,2017,India
81018238,Samantaral,Movie,"Dramas, International Movies",2018-09-15,2017,India
81016339,The Secret,Movie,"Horror Movies, International Movies",2018-09-15,2018,
80067522,First They Killed My Father,Movie,Dramas,2017-09-15,2017,"Cambodia, United States"
80192149,Gagarin: First in Space,Movie,"Dramas, International Movies",2017-09-15,2013,Russia
80142637,Janaan,Movie,"Comedies, Dramas, International Movies",2017-09-15,2016,Pakistan
80192014,Larceny,Movie,Action & Adventure,2017-09-15,2017,"United States, Mexico"
80192015,Rumble,Movie,"Action & Adventure, Independent Movies",2017-09-15,2016,Mexico
80168230,Strong Island,Movie,Documentaries,2017-09-15,2017,"United States, Denmark"
80202129,The Five,TV_Show,"British TV Shows, Crime TV Shows, TV Dramas",2017-09-15,2016,United Kingdom
80088910,Natural Born Pranksters,Movie,Comedies,2016-09-15,2016,United States
70290909,Sample This,Movie,"Documentaries, Music & Musicals",2016-09-15,2012,United States
80126566,Wartime Portraits,TV_Show,"Docuseries, International TV Shows",2016-09-15,2014,Poland
80033772,Cowspiracy: The Sustainability Secret,Movie,Documentaries,2015-09-15,2014,United States
81093951,Oh! Baby,Movie,"Comedies, International Movies, Music & Musicals",2019-09-14,2019,India
80238013,The Crystal Calls Making the Dark Crystal: Age of Resistance,Movie,"Documentaries, International Movies",2019-09-14,2019,United States
81089941,We Have Always Lived in the Castle,Movie,"Dramas, Thrillers",2019-09-14,2018,United States
81000011,Bangkok Hell,Movie,"Dramas, International Movies",2018-09-14,2002,Thailand
80243899,Behind the Newsroom,TV_Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018-09-14,2015,
80217733,Bleach,Movie,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2018-09-14,2018,Japan
80220035,Boca Juniors Confidential,TV_Show,"Docuseries, International TV Shows, Spanish-Language TV Shows",2018-09-14,2018,
80194704,Car Masters: Rust to Riches,TV_Show,Reality TV,2018-09-14,2018,
80225949,Norm Macdonald Has a Show,TV_Show,"Stand-Up Comedy & Talk Shows, TV Comedies",2018-09-14,2018,United States
80999985,Still,Movie,"Horror Movies, International Movies",2018-09-14,2010,Thailand
81002336,Super Monsters Monster Party,TV_Show,Kids' TV,2018-09-14,2018,
80188120,The Angel,Movie,"Dramas, International Movies, Thrillers",2018-09-14,2018,"Israel, United States"
80164779,The Land of Steady Habits,Movie,"Comedies, Dramas, Independent Movies",2018-09-14,2018,United States
80993613,The Rise of Phoenixes,TV_Show,"International TV Shows, Romantic TV Shows, TV Action & Adventure",2018-09-14,2018,China
81092328,American Warfighter,Movie,Dramas,2019-09-13,2019,United States
81183572,Deviant Love,Movie,Thrillers,2019-09-13,2019,United States
81037283,Head Count,Movie,"Horror Movies, Independent Movies",2019-09-13,2018,United States
80244973,"Hello, Privilege. It's Me, Chelsea",Movie,Documentaries,2019-09-13,2019,United States
81095103,Kabaneri of the Iron Fortress: The Battle of Unato,TV_Show,"Anime Series, International TV Shows, TV Horror",2019-09-13,2019,
81132438,Locked on You,Movie,"Comedies, International Movies",2019-09-13,2018,Turkey
80217779,Marianne,TV_Show,"International TV Shows, TV Dramas, TV Horror",2019-09-13,2019,France
80211572,Monarca,TV_Show,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2019-09-13,2019,Mexico
81161230,Shanghai Fortress,Movie,"Dramas, International Movies, Romantic Movies",2019-09-13,2019,China
81002412,Tall Girl,Movie,"Children & Family Movies, Comedies, Romantic Movies",2019-09-13,2019,United States
81023636,Time Trap,Movie,"Action & Adventure, Sci-Fi & Fantasy",2019-09-13,2018,United States
80217669,Top Boy,TV_Show,"British TV Shows, Crime TV Shows, International TV Shows",2019-09-13,2019,United Kingdom
80153467,Unbelievable,TV_Show,"Crime TV Shows, TV Dramas",2019-09-13,2019,United States
80192834,Reversing Roe,Movie,Documentaries,2018-09-13,2018,United States
80198046,Ghost of the Mountains,Movie,Documentaries,2017-09-13,2017,United States
80106307,Extremis,Movie,Documentaries,2016-09-13,2016,United States
80993062,The I-Land,TV_Show,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2019-09-12,2019,United States
81098586,"The Mind, Explained",TV_Show,"Docuseries, Science & Nature TV",2019-09-12,2019,United States
70267728,Turbo,Movie,"Children & Family Movies, Comedies",2019-09-12,2013,United States
81011508,Life,TV_Show,"International TV Shows, Korean TV Shows, TV Dramas",2018-09-12,2018,South Korea
81001000,On My Skin,Movie,"Dramas, International Movies",2018-09-12,2018,Italy
