Review_Rating,,Review_Rating Avgerage,,,Movie Length,,Movie Length Average
4.7,,,,,92,,
3.9,,,,,82,,
5,,,,,90,,
2.4,,,,,89,,
6.1,,,,,95,,
4.8,,,,,92,,
6.3,,,,,94,,
6.2,,,,,100,,
5.7,,,,,92,,
4.4,,,,,95,,
3.8,,,,,80,,
4.6,,,,,82,,
4.1,,,,,89,,
4.8,,,,,91,,
3,,,,,94,,
4.1,,,,,83,,
5.2,,,,,86,,
4.6,,,,,97,,
4.7,,,,,90,,
4.2,,,,,85,,
5.7,,,,,86,,
6.4,,,,,94,,
4.1,,,,,94,,
6,,,,,99,,
5.3,,,,,84,,
3.6,,,,,88,,
5.8,,,,,112,,
4.4,,,,,98,,
4.8,,,,,96,,
4.6,,,,,80,,
7.7,,,,,76,,
5.7,,,,,86,,
2.7,,,,,89,,
4.3,,,,,93,,
4.3,,,,,97,,
5.6,,,,,89,,
5.7,,,,,85,,
8.3,,,,,105,,
3.6,,,,,88,,
3.3,,,,,92,,
5.6,,,,,90,,
6.1,,,,,90,,
6.4,,,,,101,,
5.3,,,,,91,,
4.8,,,,,88,,
4.7,,,,,98,,
3.6,,,,,90,,
4.5,,,,,82,,
4.3,,,,,86,,
6.2,,,,,109,,
4.9,,,,,82,,
5.7,,,,,83,,
6.8,,,,,101,,
4.3,,,,,86,,
5.8,,,,,87,,
5.5,,,,,90,,
4.3,,,,,105,,
5.9,,,,,89,,
5.6,,,,,93,,
5.4,,,,,104,,
6.1,,,,,106,,
4.7,,,,,95,,
4.7,,,,,90,,
5.4,,,,,91,,
5.9,,,,,86,,
4.7,,,,,90,,
5.9,,,,,92,,
4.7,,,,,95,,
5.1,,,,,89,,
4.7,,,,,86,,
4.6,,,,,91,,
8,,,,,110,,
5.1,,,,,88,,
4.1,,,,,81,,
5.7,,,,,95,,
2.3,,,,,82,,
6,,,,,81,,
3.6,,,,,110,,
5.4,,,,,93,,
3.5,,,,,84,,
4.7,,,,,79,,
6.5,,,,,79,,
4.5,,,,,82,,
5.1,,,,,81,,
6.5,,,,,104,,
4.3,,,,,89,,
4.7,,,,,92,,
5.5,,,,,90,,
6.2,,,,,103,,
4.6,,,,,93,,
3.5,,,,,76,,
5.8,,,,,84,,
3.4,,,,,88,,
3.1,,,,,89,,
4.9,,,,,82,,
5.2,,,,,81,,
5.4,,,,,125,,
5.9,,,,,90,,
8.2,,,,,90,,
5.5,,,,,105,,
5,,,,,80,,
4.7,,,,,94,,
5.2,,,,,93,,
3.9,,,,,84,,
4.9,,,,,90,,
6,,,,,104,,
6.8,,,,,110,,
5.1,,,,,89,,
6.9,,,,,100,,
3.1,,,,,101,,
4.5,,,,,89,,
4.7,,,,,102,,
5.2,,,,,90,,
6.1,,,,,94,,
3.3,,,,,76,,
4.4,,,,,100,,
4.7,,,,,90,,
5.3,,,,,101,,
5.7,,,,,90,,
3.6,,,,,75,,
5.5,,,,,83,,
6.3,,,,,102,,
4.5,,,,,110,,
5.5,,,,,87,,
5.4,,,,,95,,
4.9,,,,,96,,
5.7,,,,,95,,
3.1,,,,,101,,
6.3,,,,,103,,
5.9,,,,,90,,
5.3,,,,,81,,
6.3,,,,,90,,
5,,,,,87,,
3.5,,,,,86,,
4.5,,,,,95,,
4.6,,,,,94,,
5,,,,,95,,
5.3,,,,,94,,
4.6,,,,,82,,
4.7,,,,,100,,
5,,,,,86,,
4.9,,,,,98,,
4.8,,,,,90,,
4.5,,,,,82,,
5.8,,,,,91,,
4.5,,,,,78,,
5.6,,,,,84,,
4.3,,,,,80,,
4.2,,,,,78,,
2.6,,,,,73,,
4.9,,,,,85,,
6.3,,,,,85,,
5.4,,,,,83,,
6.3,,,,,117,,
5.2,,,,,87,,
3.4,,,,,89,,
4,,,,,100,,
7.4,,,,,86,,
5.1,,,,,78,,
5.6,,,,,96,,
4.6,,,,,84,,
5.9,,,,,88,,
6.4,,,,,110,,
5,,,,,101,,
